"Number of doctors in 2018 by province by Cities, Provinces and Items"

"Cities, Provinces","Total","Public","Non public"
"Ha Noi",8350,4694,3656
"Vinh Phuc",1112,1112,..
"Bac Ninh",1530,999,531
"Quang Ninh",2122,1712,410
"Hai Duong",1342,1304,38
"Hai Phong",2106,1574,532
"Hung Yen",761,761,..
"Thai Binh",2040,1505,535
"Ha Nam",580,543,37
"Nam Dinh",1004,959,45
"Ninh Binh",1109,871,238
"Ha Giang",925,909,16
"Cao Bang",917,775,142
"Bac Kan",486,486,..
"Tuyen Quang",469,469,..
"Lao Cai",730,730,..
"Yen Bai",685,685,..
"Thai Nguyen",990,990,..
"Lang Son",804,718,86
"Bac Giang",1770,1396,374
"Phu Tho",1424,1217,207
"Dien Bien",707,664,43
"Lai Chau",451,409,42
"Son La",1118,879,239
"Hoa Binh",603,603,..
"Thanh Hoa",3898,2627,1271
"Nghe An",2519,2038,481
"Ha Tinh",1095,1083,12
"Quang Binh",810,581,229
"Quang Tri",578,578,..
"Thua Thien Hue",712,712,..
"Da Nang",1540,1221,319
"Quang Nam",1268,1047,221
"Quang Ngai",840,840,..
"Binh Dinh",1253,921,332
"Phu Yen",632,457,175
"Khanh Hoa",1232,763,469
"Ninh Thuan",493,457,36
"Binh Thuan",734,683,51
"Kon Tum",486,486,..
"Gia Lai",832,832,..
"Dak Lak",1475,1252,223
"Dak Nong",272,272,..
"Lam Dong",925,882,43
"Binh Phuoc",520,520,..
"Tay Ninh",493,465,28
"Binh Duong",2014,735,1279
"Dong Nai",1679,1679,..
"Ba Ria - Vung Tau",492,492,..
"Ho Chi Minh",10193,8892,1301
"Long An",951,951,..
"Tien Giang",934,925,9
"Ben Tre",881,832,49
"Tra Vinh",696,696,..
"Vinh Long",698,698,..
"Dong Thap",1575,1147,428
"An Giang",1696,1696,..
"Kien Giang",1205,1160,45
"Can Tho",2166,1951,215
"Hau Giang",500,500,..
"Soc Trang",663,663,..
"Bac Lieu",636,636,..
"Ca Mau",1067,1067,..
